factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment,products_list,production_capacity_yearly_pieces,capacity_category,factory_age,employees_per_machine,productivity_pieces_per_machine,num_products,produces_t-shirt,produces_shirt,produces_pants,produces_jacket,produces_polo_shirt,produces_sweater
Birds Apparels Ltd.,Woven,5.0,600.0,228,76000.0,"Jackets ,Overalls ,Trousers ,Shorts","1, Darus Salam Road, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,1992,"['Jackets', 'Overalls', 'Trousers', 'Shorts']",912000.0,Large,33,2.6315789473684212,4000.0,4,0,0,0,0,0,0
Birds Fadrex Ltd.,Woven,5.0,725.0,231,72000.0,"Babies Wears ,Overalls ,Trousers ,Shorts","113, Baipail, Ashulia, Dhaka, Savar",Dhaka,Savar,1995,"['Babies Wears', 'Overalls', 'Trousers', 'Shorts']",864000.0,Large,30,3.1385281385281387,3740.2597402597403,4,0,0,0,0,0,0
Birds Garments Ltd.,Woven,5.0,700.0,245,61000.0,"Babies Wears ,Trousers ,Overalls ,Shorts","1, Darus Salam Road, Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,1985,"['Babies Wears', 'Trousers', 'Overalls', 'Shorts']",732000.0,Large,40,2.857142857142857,2987.7551020408164,4,0,0,0,0,0,0
Birds Garments Ltd. Unit-2,Woven,5.0,605.0,226,65000.0,"Jackets ,Trousers ,Shorts ,Overalls","113, Baipail, Ashulia, Dhaka, Savar",Dhaka,Savar,1997,"['Jackets', 'Trousers', 'Shorts', 'Overalls']",780000.0,Large,28,2.6769911504424777,3451.3274336283184,4,0,0,0,0,0,0
Birds RNR Fashions Ltd.,Woven,5.0,1210.0,402,145000.0,"Jackets ,Overalls ,Trousers ,Shorts","113, Baipail, Ashulia, Dhaka, Savar",Dhaka,Savar,2005,"['Jackets', 'Overalls', 'Trousers', 'Shorts']",1740000.0,Very Large,20,3.009950248756219,4328.358208955224,4,0,0,0,0,0,0
Biswas Fashions Ltd.,Knit,5.0,225.0,95,0.0,"T-Shirts ,Jogging Suits ,Infants Wear","Raj Fulbaria, Dhaka, Savar",Dhaka,Savar,1998,"['T-Shirts', 'Jogging Suits', 'Infants Wear']",0.0,,27,2.3684210526315788,0.0,3,0,0,0,0,0,0
Biswas Garments Ltd.,Woven,5.0,900.0,500,72000.0,"Jackets ,Pants ,Jogging Suits","Raj Fulbaria, Dhaka, Savar",Dhaka,Savar,1992,"['Jackets', 'Pants', 'Jogging Suits']",864000.0,Large,33,1.8,1728.0,3,0,0,1,0,0,0
Biswas Garments Ltd. (U-2),Woven,5.0,180.0,100,0.0,"Babies Wear ,Jackets ,Jogging Suits","Rajfulbaria, Dhaka, Savar",Dhaka,Savar,2002,"['Babies Wear', 'Jackets', 'Jogging Suits']",0.0,,23,1.8,0.0,3,0,0,0,0,0,0
Bit Body Bangladesh Ltd.,Woven,1.0,200.0,190,16200.0,Unknown,"Plot-224 & 226, Sattar Bhaban, Bogabari Bazar, Ali Madrasha, Baipayl, Ashulia, Dhaka, Dhaka",Dhaka,Dhaka,2017,[],194400.0,Large,8,1.0526315789473684,1023.1578947368421,0,0,0,0,0,0,0
Bitex Creations Ltd.,Woven,1.0,2.0,72,195000.0,"Shirt ,Pant ,T-Shirt ,Polo Shirt","1/1-Umo, Alubdi, Pallabi, Mirpur-12, Dhaka, Dhaka",Dhaka,Dhaka,2023,"['Shirt', 'Pant', 'T-Shirt', 'Polo Shirt']",2340000.0,Very Large,2,0.027777777777777776,32500.0,4,1,1,0,0,1,0
BKC Sweater Ltd.,Sweater,5.0,956.0,650,150000.0,"Sweaters ,Pullovers ,Cardigans ,Vests","Rams Tower, Plot # 212-214, Dagerchala Main Road, Gazipur, Board Bazar",Gazipur,Board Bazar,2002,"['Sweaters', 'Pullovers', 'Cardigans', 'Vests']",1800000.0,Very Large,23,1.4707692307692308,2769.230769230769,4,0,0,0,0,0,0
BLJ Bangladesh Corporation Ltd.,Knit,5.0,120.0,60,50000.0,"T-Shirta ,Polo Shirts","Durgapur, Jabbar Sorkar Road, Zirabo, Dhaka, Ashulia",Dhaka,Ashulia,2016,"['T-Shirta', 'Polo Shirts']",600000.0,Large,9,2.0,10000.0,2,0,0,0,0,0,0
Bloomingtex Ltd.,Woven,5.0,712.0,350,92000.0,"Shirts ,Trousers ,Shorts","16/1, New Jurain, Buriganga Setu Market, Dhaka, Postagola",Dhaka,Postagola,2007,"['Shirts', 'Trousers', 'Shorts']",1104000.0,Very Large,18,2.0342857142857143,3154.285714285714,3,0,0,0,0,0,0
BLP Warm Fashion Ltd.,Sweater,5.0,750.0,560,50000.0,"Sweaters ,Pullovers ,Cardigans","Rahman Tower, Sholoshahar, Rail Gate # 1, Chittagong, Muradpur",Chittagong,Muradpur,2004,"['Sweaters', 'Pullovers', 'Cardigans']",600000.0,Large,21,1.3392857142857142,1071.4285714285713,3,0,0,0,0,0,0
Blue Apparels Limited,Woven,1.0,2.0,300,1560000.0,"Shirt ,Pant ,Trouser ,T-Shirt","Chaira, Mushury Khola, Hemayetpur, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2023,"['Shirt', 'Pant', 'Trouser', 'T-Shirt']",18720000.0,Very Large,2,0.006666666666666667,62400.0,4,1,1,0,0,0,0
Blue Cap Knit Fashion Ltd.,Knit,5.0,225.0,161,156000.0,"Panties ,Under Wears ,Bra","812, Mazid Tower, Baipail, Ashulia, Dhaka, Savar",Dhaka,Savar,2011,"['Panties', 'Under Wears', 'Bra']",1872000.0,Very Large,14,1.3975155279503106,11627.329192546584,3,0,0,0,0,0,0
Blue Planet Knitwear Ltd.,Knit,5.0,1350.0,520,423700.0,"T-Shirts ,Polo Shirts","Mulaid, Gazipur, Sreepur",Gazipur,Sreepur,2015,"['T-Shirts', 'Polo Shirts']",5084400.0,Very Large,10,2.5961538461538463,9777.692307692309,2,0,0,0,0,0,0
Blue Seal Textile Ltd.,Knit,5.0,975.0,242,397500.0,"T-Shirts ,Polo Shirts ,Tank Tops","Mulaid, Gazipur, Sreepur",Gazipur,Sreepur,2006,"['T-Shirts', 'Polo Shirts', 'Tank Tops']",4770000.0,Very Large,19,4.028925619834711,19710.743801652894,3,0,0,0,0,0,0
Blue Sky Fashion Ltd,Woven,1.0,5.0,130,130000.0,"Shirt ,Pant ,T-Shirt ,Polo Shirt","401 Nuruddin Chamber, Strand Road, Majhirghat, Sadarghat, Chattogram, Chittagong",Chittagong,Chittagong,2022,"['Shirt', 'Pant', 'T-Shirt', 'Polo Shirt']",1560000.0,Very Large,3,0.038461538461538464,12000.0,4,1,1,0,0,1,0
Blue-Bell Knitting & Processing Inds.Ltd,Knit,5.0,350.0,125,270000.0,"T-Shirts ,Socks ,Under Garments ,Polo Shirts","Sastapur, Narayanganj, Fatullah",Narayanganj,Fatullah,1992,"['T-Shirts', 'Socks', 'Under Garments', 'Polo Shirts']",3240000.0,Very Large,33,2.8,25920.0,4,0,0,0,0,0,0
Blueaglez Bangladesh Ltd.,Woven,1.0,213.0,165,100000.0,"Shirt ,Pant ,Top ,T-shirt","25, (Ground Floor-1St Floor), Haji Billat Ali School Road, Chalabon Hajipara, Dakkhin Khan, Dhaka, Dhaka",Dhaka,Dhaka,2016,"['Shirt', 'Pant', 'Top', 'T-shirt']",1200000.0,Very Large,9,1.290909090909091,7272.727272727273,4,0,1,0,0,0,0
Bodice Apparels Ltd.,Woven,1.0,450.0,250,160000.0,"Shirt ,Pant ,T-Shirt ,Polo shirt","Allai, Ward # 01, Amjur Hat, Patiya Pawroshova, Patiya, Chittagong, Chittagong",Chittagong,Chittagong,2022,"['Shirt', 'Pant', 'T-Shirt', 'Polo shirt']",1920000.0,Very Large,3,1.8,7680.0,4,1,1,0,0,0,0
Body Fashion (Pvt) Ltd.,Sweater,5.0,1110.0,630,120000.0,Sweaters,"Naojur, Kodda, Gazipur, Joydevpur",Gazipur,Joydevpur,2000,['Sweaters'],1440000.0,Very Large,25,1.7619047619047619,2285.714285714286,1,0,0,0,0,0,0
Body Link Sweater Ltd.,Sweater,5.0,1094.0,550,90000.0,Sweaters,"Naljani, Chandana, Chowrasta, Gazipur, Joydevpur",Gazipur,Joydevpur,2006,['Sweaters'],1080000.0,Very Large,19,1.989090909090909,1963.6363636363637,1,0,0,0,0,0,0
Bodystretch (BD) Ltd.,Knit,5.0,450.0,238,120000.0,"T-Shirts ,Polo Shirts ,Skirts","Plot # 80, Tengury, Zirani Bazar, Bksp, Ashulia, Dhaka, Savar",Dhaka,Savar,2012,"['T-Shirts', 'Polo Shirts', 'Skirts']",1440000.0,Very Large,13,1.8907563025210083,6050.420168067227,3,0,0,0,0,0,0
Bonded Fashion Ltd.,Knit,5.0,425.0,282,1000000.0,"T-Shirts ,Polo Shirts ,Vest ,Girls Tops","Shataish, Gazipura, Gazipur, Tongi",Gazipur,Tongi,2005,"['T-Shirts', 'Polo Shirts', 'Vest', 'Girls Tops']",12000000.0,Very Large,20,1.5070921985815602,42553.1914893617,4,0,0,0,0,0,0
Bonian Knit Fashions Ltd.,Knit,5.0,215.0,80,150000.0,Basic T-Shirts,"Latifpur, Shardaganj, Gazipur, B. Baria",Gazipur,B. Baria,2007,['Basic T-Shirts'],1800000.0,Very Large,18,2.6875,22500.0,1,0,0,0,0,0,0
Bonny & Bonny Apparels (Pvt) Ltd.,Knit,5.0,325.0,120,48000.0,"T-Shirts ,Night Gown ,Robe ,Pajama","1/2, Chowdhury Para, Dit Road, Dhaka, Rampura",Dhaka,Rampura,2007,"['T-Shirts', 'Night Gown', 'Robe', 'Pajama']",576000.0,Large,18,2.7083333333333335,4800.0,4,0,0,0,0,0,0
Bonny Apparels (Pvt) Ltd.,Knit,5.0,352.0,170,72000.0,"Night Gown ,Robe ,Pajama","13, D.I.T Road, Khilgaon Chowdhury Para, Dhaka, Khilgaon",Dhaka,Khilgaon,1993,"['Night Gown', 'Robe', 'Pajama']",864000.0,Large,32,2.070588235294118,5082.35294117647,3,0,0,0,0,0,0
Bonny Apparels (Pvt) Ltd.(U-2),Knit,5.0,320.0,200,84000.0,"Night Gown ,Knitwears ,Robe ,Pajama","1, Chowdhury Para, Dit Road, Dhaka","1, Chowdhury Para, Dit Road",Dhaka,2000,"['Night Gown', 'Knitwears', 'Robe', 'Pajama']",1008000.0,Very Large,25,1.6,5040.0,4,0,0,0,0,0,0
Boost Design Ltd.,Knit,1.0,300.0,130,82000.0,"T-Shirt ,Polo Shirt ,Trouser ,Tank Top","Yearpur, Zirabo, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2021,"['T-Shirt', 'Polo Shirt', 'Trouser', 'Tank Top']",984000.0,Large,4,2.3076923076923075,7569.2307692307695,4,1,0,0,0,1,0
Borax Apparels Ltd.,Woven,5.0,260.0,140,36000.0,"Shirts ,Dresses ,Trousers ,Shorts","1/F, North-East Darussalam Road, (6Th - 8Th Floor), Section # 1, Dhaka, Mirpur",Dhaka,Mirpur,1993,"['Shirts', 'Dresses', 'Trousers', 'Shorts']",432000.0,Large,32,1.8571428571428572,3085.714285714286,4,0,0,0,0,0,0
Bottoms Gallery (Pvt.) Ltd.,Woven,5.0,990.0,620,140000.0,"Jackets ,Pants ,Girls Dress ,Skirts","Bulbul Tower, Dighir Chala, Gazipur, Gazipur",Gazipur,Gazipur,2011,"['Jackets', 'Pants', 'Girls Dress', 'Skirts']",1680000.0,Very Large,14,1.596774193548387,2709.6774193548385,4,0,0,1,0,0,0
Bovs Apparels Ltd.,Woven,5.0,825.0,530,204000.0,"Shirts ,Pants ,T-Shirts","Jamura, Muchipara, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2013,"['Shirts', 'Pants', 'T-Shirts']",2448000.0,Very Large,12,1.5566037735849056,4618.867924528302,3,0,0,1,0,0,0
BP Wears (Pvt) Ltd.,Woven,5.0,440.0,193,100000.0,"Jackets ,Pants ,Trousers","Plot # B-189, Bscic Inds. Estate, Gazipur, Tongi",Gazipur,Tongi,2005,"['Jackets', 'Pants', 'Trousers']",1200000.0,Very Large,20,2.2797927461139897,6217.616580310881,3,0,0,1,0,0,0
Bramaks Limited,Knit,5.0,160.0,89,300000.0,Underwear,"Rahman Tower (2Nd Floor), 1, Railgate, Chittagong, Muradpur",Chittagong,Muradpur,2000,['Underwear'],3600000.0,Very Large,25,1.797752808988764,40449.43820224719,1,0,0,0,0,0,0
Brandix Casualwear Bangladesh Ltd.,Unknown,,0.0,0,200000.0,"Sweaters ,Pullovers ,Cardigans","Plot # 61 - 71, Comilla","Plot # 61 - 71,",Comilla,2017,"['Sweaters', 'Pullovers', 'Cardigans']",2400000.0,Very Large,8,0.0,0.0,3,0,0,0,0,0,0
Brands Apparel Ltd.,Woven,1.0,560.0,135,129999.0,"Shirt ,Denim Pant ,Jacket ,Trouser","121/3, Degerchala Road, National University, Gazipur Sadar, Gazipur, Gazipur",Gazipur,Gazipur,2021,"['Shirt', 'Denim Pant', 'Jacket', 'Trouser']",1559988.0,Very Large,4,4.148148148148148,11555.466666666667,4,0,1,0,1,0,0
Brannerson Apparel Ltd.,Woven,5.0,950.0,464,1440000.0,"Ladies Dress ,Ladies Swimwear ,Ladies Skirt ,Polo Shirts","Plo T# I/1, Gha Part, Rupnagar Industrial Area, Section:02, Pallabi, Mirpur, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2016,"['Ladies Dress', 'Ladies Swimwear', 'Ladies Skirt', 'Polo Shirts']",17280000.0,Very Large,9,2.0474137931034484,37241.379310344826,4,0,0,0,0,0,0
Bravo Design Ltd.,Woven,1.0,130.0,469,55200.0,"Shirt ,Pant ,T-Shirt ,Polo Shirt","11/C/6, Moinertek, Uttarkhan, Dhaka, Dhaka",Dhaka,Dhaka,2022,"['Shirt', 'Pant', 'T-Shirt', 'Polo Shirt']",662400.0,Large,3,0.2771855010660981,1412.3667377398722,4,1,1,0,0,1,0
Brickland Composite Ltd.,Woven,1.0,200.0,141,0.0,"Shirt ,Pant ,Jacket ,T-Shirt","Borpa, Holding # 83, Rupganj, Narayangonj, Narayangonj, Narayangonj",Narayangonj,Narayangonj,2021,"['Shirt', 'Pant', 'Jacket', 'T-Shirt']",0.0,,4,1.4184397163120568,0.0,4,1,1,0,1,0,0
Bridgenet Apparels Ltd.,Woven,1.0,348.0,260,9000.0,"Chino ,Tops ,Trouser ,Hoody","Sha-74, Level-5Th , 6Th & 7Th, North Badda, Dhaka, Dhaka, Dhaka",Dhaka,Dhaka,2016,"['Chino', 'Tops', 'Trouser', 'Hoody']",108000.0,Large,9,1.3384615384615384,415.38461538461536,4,0,0,0,0,0,0
Bright Apparels Ltd.,Knit,5.0,350.0,180,75000.0,"MB T-Shirts ,Ladies T-Shirts ,Ladies Polo Shirts","B-24,(South), Bscic Shilponagari, Gazipur, Tongi",Gazipur,Tongi,1991,"['MB T-Shirts', 'Ladies T-Shirts', 'Ladies Polo Shirts']",900000.0,Large,34,1.9444444444444444,5000.0,3,0,0,0,0,0,0
Brightex Apparels Ltd.,Knit,5.0,300.0,155,50000.0,"Jackets ,Long Pants ,Denim Pants ,TShirts","1481/A, Roa D# 20, Chittagong, South Agrabad",Chittagong,South Agrabad,2011,"['Jackets', 'Long Pants', 'Denim Pants', 'TShirts']",600000.0,Large,14,1.935483870967742,3870.967741935484,4,0,0,0,0,0,0
Brilliane Sweater Limited,Sweater,5.0,700.0,316,60000.0,Sweaters,"Joyartek, Gazipur, Konabari",Gazipur,Konabari,2012,['Sweaters'],720000.0,Large,13,2.2151898734177213,2278.481012658228,1,0,0,0,0,0,0
Brishti Garments Ltd.,Woven,5.0,450.0,375,70000.0,"Denim 5 Pockets ,Trousers ,Shorts ,Skirts","4, Darussalam Road, Misko Super Market (1St & 2Nd Fl), Dhaka, Mirpur-1",Dhaka,Mirpur-1,1998,"['Denim 5 Pockets', 'Trousers', 'Shorts', 'Skirts']",840000.0,Large,27,1.2,2240.0,4,0,0,0,0,0,0
Britex Sportswear Limited,Knit,5.0,365.0,220,358000.0,"T-Shirts ,Polo Shirts","Parijat, Konabari, Gazipur, Gazipur",Gazipur,Gazipur,2012,"['T-Shirts', 'Polo Shirts']",4296000.0,Very Large,13,1.6590909090909092,19527.272727272728,2,0,0,0,0,0,0
Brooks (BD) Garments Co. Ltd.,Knit,5.0,300.0,100,80000.0,"Shirts ,T-Shirts ,Jogging Suits","Kunia, National University, Gazipur, K.B. Bazar",Gazipur,K.B. Bazar,1984,"['Shirts', 'T-Shirts', 'Jogging Suits']",960000.0,Large,41,3.0,9600.0,3,0,0,0,0,0,0
Brother Trade Wear,Knit,1.0,1.0,85,100000.0,"T-Shirt ,Polo Shirt","Plot # 14, Block # F, Eastern Housing, Pollabi 2Nd Part, Mirpur, Dhaka, Dhaka",Dhaka,Dhaka,2023,"['T-Shirt', 'Polo Shirt']",1200000.0,Very Large,2,0.011764705882352941,14117.64705882353,2,1,0,0,0,1,0
Brothers Apparels Ltd.,Woven,5.0,400.0,200,150000.0,"Jackets ,Pants ,Jogging Suits","21/27 Baizid Bostami Road, Nasirabad I/A, Chittagong","21/27 Baizid Bostami Road, Nasirabad I/A",Chittagong,1992,"['Jackets', 'Pants', 'Jogging Suits']",1800000.0,Very Large,33,2.0,9000.0,3,0,0,1,0,0,0
Brothers Fashion Limited,Woven,5.0,1000.0,750,150000.0,"Denim ,Casual Trousers ,Basic Chino ,Cargo","Redwan Tower, Holding # 1, Block-B, Ward # 15, Vogra, Gazipur, National University",Gazipur,National University,1986,"['Denim', 'Casual Trousers', 'Basic Chino', 'Cargo']",1800000.0,Very Large,39,1.3333333333333333,2400.0,4,0,0,0,0,0,0
BSA Apparels Ltd.,Woven,5.0,2400.0,850,240000.0,"Shirts ,Pants","Plot # D-9-12, Block - B, Bscic I/A, Fouzderhat, Chittagong, Pahartoli",Chittagong,Pahartoli,2008,"['Shirts', 'Pants']",2880000.0,Very Large,17,2.823529411764706,3388.235294117647,2,0,0,1,0,0,0
BSA Garment Industry (Pvt) Ltd. (U-2),Woven,5.0,558.0,148,60000.0,"Shirts ,Pants","56, Gosail Danga, Chittagong, Double Mooring",Chittagong,Double Mooring,1993,"['Shirts', 'Pants']",720000.0,Large,32,3.77027027027027,4864.864864864865,2,0,0,1,0,0,0
BSA Garments Inds. (Pvt) Ltd.,Woven,5.0,561.0,209,66000.0,"Shirts ,Pants","56, Gosaildanga, Chittagong, Double Mooring",Chittagong,Double Mooring,1985,"['Shirts', 'Pants']",792000.0,Large,40,2.6842105263157894,3789.4736842105262,2,0,0,1,0,0,0
BSA Garments Inds. (Pvt) Ltd.(H.U.),Sweater,5.0,250.0,90,30000.0,"Pullovers ,Cardigans","56, Gosaildanga, Chittagong, Double Mooring",Chittagong,Double Mooring,1989,"['Pullovers', 'Cardigans']",360000.0,Large,36,2.7777777777777777,4000.0,2,0,0,0,0,0,0
Buildex Knit Composite Ltd.,Knit,5.0,325.0,173,1900.0,"T-shirts ,Polo Shirts","Plot # 14, Simultola, Jamgora, Depz Road, Dhaka, Ashulia",Dhaka,Ashulia,2016,"['T-shirts', 'Polo Shirts']",22800.0,Medium,9,1.8786127167630058,131.79190751445086,2,0,0,0,0,0,0
Bulbul Knitting & Sewing Ltd.,Knit,5.0,260.0,150,167000.0,"T-Shirts ,Polo Shirts ,Tank Tops","228/7, Jamir Uddin Sarker Market, Dighirchala, Gazipur, Chandona",Gazipur,Chandona,2011,"['T-Shirts', 'Polo Shirts', 'Tank Tops']",2004000.0,Very Large,14,1.7333333333333334,13360.0,3,0,0,0,0,0,0
Bunon Knitwear Ltd.,Woven,5.0,320.0,158,250000.0,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Mouchak, Kaliakoir, Gazipur, Gazipur",Gazipur,Gazipur,2014,"['Shirts', 'Pants', 'T-Shirts', 'Polo Shirts']",3000000.0,Very Large,11,2.0253164556962027,18987.3417721519,4,0,0,1,0,0,0
Byzid Apparels (Pvt) Ltd.,Knit,5.0,480.0,195,180000.0,"Boy's Shirts ,Girls Shirts ,Shorts","671/1, Sholakbahar, Abm Tower, Chittagong, Bahardarhat",Chittagong,Bahardarhat,1998,"['Boys Shirts', 'Girls Shirts', 'Shorts']",2160000.0,Very Large,27,2.4615384615384617,11076.923076923076,3,0,0,0,0,0,0
C & A Fashion Ltd.,Knit,5.0,450.0,280,100000.0,"Ladies Shirts ,Jackets ,Knit Tops","107/112, Chawk Bazar, Chittagong, Chawk Bazar",Chittagong,Chawk Bazar,1993,"['Ladies Shirts', 'Jackets', 'Knit Tops']",1200000.0,Very Large,32,1.6071428571428572,4285.714285714285,3,0,0,0,0,0,0
C & A Textiles Ltd.,Knit,5.0,737.0,233,1200000.0,"Shirts ,Pants ,T-Shirts ,Polo Shirts","Plot # 61, 62, 66, 67, 68, 72 & 73, Bscic I/E, Chittagong, Kalurghat",Chittagong,Kalurghat,2015,"['Shirts', 'Pants', 'T-Shirts', 'Polo Shirts']",14400000.0,Very Large,10,3.163090128755365,61802.575107296136,4,0,0,1,0,0,0
C & B Composite Ltd.,Knit,5.0,300.0,95,20833.0,"Shirts ,Pants ,T-Shirts ,Polo Shirts","House # 8, Lane # 24/1, Avenue # 5,, Section # 11, Modina Nagar, Pallabi, Dhaka, Mirpur",Dhaka,Mirpur,2014,"['Shirts', 'Pants', 'T-Shirts', 'Polo Shirts']",249996.0,Large,11,3.1578947368421053,2631.536842105263,4,0,0,1,0,0,0
C & R Sweater Ltd.,Sweater,1.0,650.0,254,110000.0,Unknown,"Votulia, Gazipur, Sreepur, Gazipur, Gazipur",Gazipur,Gazipur,2018,[],1320000.0,Very Large,7,2.559055118110236,5196.850393700787,0,0,0,0,0,0,0
C.B.M. International Ltd.,Woven,1.0,962.0,1039,60000.0,"T-Shirts ,Shorts","125/1, Senpara Parbata, Dhaka, Dhaka",Dhaka,Dhaka,1998,"['T-Shirts', 'Shorts']",720000.0,Large,27,0.9258902791145333,692.9740134744947,2,0,0,0,0,0,0
C.K. Sweaters Ltd.,Sweater,5.0,425.0,953,0.0,Sweaters,"Mahadani, Boideshirhat, Dinajpur, Chirirbander",Dinajpur,Chirirbander,2007,['Sweaters'],0.0,,18,0.4459601259181532,0.0,1,0,0,0,0,0,0
C2C Fashion Limited,Woven,1.0,2.0,122,1000000.0,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Holding # G-92/1 (Old# 92), Word # 15, Hn Tower, Vogra, Bashon, Gazipur Sadar, Gazipur, Gazipur",Gazipur,Gazipur,2022,"['Shirt', 'Pant', 'T-Shirt', 'Polo Shirt']",12000000.0,Very Large,3,0.01639344262295082,98360.65573770492,4,1,1,0,0,1,0
CA Knitwear Ltd.,Knit,5.0,3025.0,1855,110000.0,"T-Shirt ,Polo Shirt ,Sweat Shirt ,Legging","House # 50, Road # 7, Block # A, Section-12, Dhaka, B. Baria",Dhaka,B. Baria,1994,"['T-Shirt', 'Polo Shirt', 'Sweat Shirt', 'Legging']",1320000.0,Very Large,31,1.6307277628032344,711.5902964959569,4,1,0,0,0,1,0
Cad Tex Garments Limited,Knit,5.0,1200.0,464,1000000.0,"T-Shirts ,Polo Shirts ,Tank Top","Kutubail, Narayanganj, Fatullah",Narayanganj,Fatullah,1996,"['T-Shirts', 'Polo Shirts', 'Tank Top']",12000000.0,Very Large,29,2.586206896551724,25862.068965517243,3,0,0,0,0,0,0
Caesar Apparels Ltd.,Woven,5.0,715.0,680,25000.0,"Dress ,Shirt ,Tunic ,Pant","82, Nasirabad I/A, Baisiz Bostami, Chittagong, Chittagong",Chittagong,Chittagong,2006,"['Dress', 'Shirt', 'Tunic', 'Pant']",300000.0,Large,19,1.0514705882352942,441.1764705882353,4,0,1,0,0,0,0
Calico Garments Ltd.,Knit,5.0,465.0,220,50000.0,"Jackets ,Trousers ,Denim Pants","755, Askarabad, D.T. Road, Chittagong","755, Askarabad, D.T. Road",Chittagong,1985,"['Jackets', 'Trousers', 'Denim Pants']",600000.0,Large,40,2.1136363636363638,2727.2727272727275,3,0,0,0,0,0,0
Calm Denims Ltd.,Woven,5.0,0.0,0,0.0,"Childrenwears ,Jackets ,Trousers","Kulgaon, Hathazari Road, Chittagong","Kulgaon, Hathazari Road",Chittagong,2003,"['Childrenwears', 'Jackets', 'Trousers']",0.0,,22,0.0,0.0,3,0,0,0,0,0,0
Calvin Fashion Ltd.,Woven,5.0,450.0,280,100000.0,"Shirts ,Ladies Tops ,Shorts ,Jackets","1014/A, Baizid Bostami Road, East Nasirabad, Chittagong","1014/A, Baizid Bostami Road, East Nasirabad",Chittagong,1995,"['Shirts', 'Ladies Tops', 'Shorts', 'Jackets']",1200000.0,Very Large,30,1.6071428571428572,4285.714285714285,4,0,0,0,0,0,0
Cambridge Garments Ltd.,Woven,5.0,505.0,300,100000.0,"Trousers ,Work Wears ,Jackets ,Long Pants","Feroza Complex (4Th Floor), 88, Kazi Najrul Islam Avenue, Dhaka, Farmgate",Dhaka,Farmgate,1985,"['Trousers', 'Work Wears', 'Jackets', 'Long Pants']",1200000.0,Very Large,40,1.6833333333333333,4000.0,4,0,0,0,0,0,0
Camellia Apparels Limited,Woven,5.0,240.0,110,25000.0,"Jackets ,Outer Wears ,Jeans","335, West Rampura, D.I.T Road, Dhaka, Rampura",Dhaka,Rampura,1993,"['Jackets', 'Outer Wears', 'Jeans']",300000.0,Large,32,2.1818181818181817,2727.2727272727275,3,0,0,0,0,0,0
Camio Knitwear Ltd.,Knit,5.0,830.0,345,390000.0,"T-Shirts ,Polo Shirts","Kadda Nandan, Kadda Bazar, Gazipur, Joydevpur",Gazipur,Joydevpur,2016,"['T-Shirts', 'Polo Shirts']",4680000.0,Very Large,9,2.4057971014492754,13565.217391304348,2,0,0,0,0,0,0
Camio USA Knitwear Ltd.,Knit,5.0,0.0,279,120000.0,"T-Shirts ,Polo Shirts ,Tank Tops","Kadda Nandun, Gazipur, Joydevpur",Gazipur,Joydevpur,2008,"['T-Shirts', 'Polo Shirts', 'Tank Tops']",1440000.0,Very Large,17,0.0,5161.290322580645,3,0,0,0,0,0,0
Camlet Fashions Ltd.,Knit,5.0,214.0,60,0.0,"T-Shirts ,Polo Shirts ,Boxer Shorts ,Basic Pants","24/Ka, Shahid Minar Road, Dhaka, Kallyanpur",Dhaka,Kallyanpur,2007,"['T-Shirts', 'Polo Shirts', 'Boxer Shorts', 'Basic Pants']",0.0,,18,3.566666666666667,0.0,4,0,0,0,0,0,0
Can-Am Garments (Pvt) Ltd.,Sweater,5.0,650.0,550,96000.0,Sweaters,"Fatullah, Narayanganj, Fatullah",Narayanganj,Fatullah,2004,['Sweaters'],1152000.0,Very Large,21,1.1818181818181819,2094.5454545454545,1,0,0,0,0,0,0
Canvas Clothings Ltd.,Woven,5.0,200.0,120,60000.0,T-Shirts,"301 (North) Nasirabad I/A, Baizid Bostami Road, Chittagong","301 (North) Nasirabad I/A, Baizid Bostami Road",Chittagong,2001,['T-Shirts'],720000.0,Large,24,1.6666666666666667,6000.0,1,0,0,0,0,0,0
Canvas Garments (Pvt) Ltd.,Knit,5.0,101.0,89,0.0,Unknown,"301 (North) Nasirabad I/A, Baizidbostami Road, Chittagong","301 (North) Nasirabad I/A, Baizidbostami Road",Chittagong,2002,[],0.0,,23,1.1348314606741574,0.0,0,0,0,0,0,0,0
Capital Designs Limited,Knit,5.0,394.0,250,130000.0,"Shirts ,Polo Shirts ,Blouses ,Tops","Dilan Complex, Dhaka Road, Chandona Chowrasta, Gazipur, Chandona",Gazipur,Chandona,1995,"['Shirts', 'Polo Shirts', 'Blouses', 'Tops']",1560000.0,Very Large,30,1.576,6240.0,4,0,0,0,0,0,0
