factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment,products_list,production_capacity_yearly_pieces,capacity_category,factory_age,employees_per_machine,productivity_pieces_per_machine,num_products,produces_t-shirt,produces_shirt,produces_pants,produces_jacket,produces_polo_shirt,produces_sweater
Aman Winter Wears Ltd.,Sweater,5.0,510.0,308,180000.0,"Sweaters ,Pullovers","Singair Road, Hemayetpur, Dhaka, Savar",Dhaka,Savar,2012,"['Sweaters', 'Pullovers']",2160000.0,Very Large,13,1.655844155844156,7012.987012987013,2,0,0,0,0,0,0
Amana Knittex,Knit,5.0,325.0,117,188750.0,"t-Shirts ,Polo Shirts","Amana Complex, Masdair,, Gorosthan, Gabtoli Mor, Narayanganj, Fatullah",Narayanganj,Fatullah,2014,"['t-Shirts', 'Polo Shirts']",2265000.0,Very Large,11,2.7777777777777777,19358.97435897436,2,0,0,0,0,0,0
Amana Textile,Knit,5.0,325.0,113,188750.0,"T-Shirts ,Polo Shirts","Amana Complex, Masdair, Gorosthan Mor, Narayanganj, Fatullah",Narayanganj,Fatullah,2014,"['T-Shirts', 'Polo Shirts']",2265000.0,Very Large,11,2.8761061946902653,20044.24778761062,2,0,0,0,0,0,0
Amanah Apparels,Woven,1.0,1.0,163,488000.0,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Norsinghopur, Zirabo, Ashulia, Savar, Dhaka, Dhaka",Dhaka,Dhaka,2023,"['Shirt', 'Pant', 'T-Shirt', 'Polo Shirt']",5856000.0,Very Large,2,0.006134969325153374,35926.38036809816,4,1,1,0,0,1,0
Amanah Fashion Ltd.,Woven,5.0,278.0,193,75000.0,"Shirts ,Pants","House # 30, Hazi Mofiz Uddin Member Road,, Hajipara, Dhaka, North Badda",Dhaka,North Badda,2014,"['Shirts', 'Pants']",900000.0,Large,11,1.4404145077720207,4663.21243523316,2,0,0,1,0,0,0
Amantex Ltd.,Knit,5.0,3200.0,1620,1872000.0,"T-Shirts ,Polo Shirts ,Knitted Top/BOttom","Boiragirchala, Gazipur, Sreepur",Gazipur,Sreepur,2008,"['T-Shirts', 'Polo Shirts', 'Knitted TopBOttom']",22464000.0,Very Large,17,1.9753086419753085,13866.666666666666,3,0,0,0,0,0,0
Amazing Fashions Ltd.,Knit,5.0,1298.0,709,468000.0,"T-Shirts ,Polo Shirts ,Knitted Jackets","10, Dager Chala, National University, Gazipur, Board Bazar",Gazipur,Board Bazar,2007,"['T-Shirts', 'Polo Shirts', 'Knitted Jackets']",5616000.0,Very Large,18,1.8307475317348378,7921.015514809591,3,0,0,0,0,0,0
Ambia Apparels Ltd.,Woven,5.0,280.0,249,60000.0,"T-Shirts ,Pants ,Swimming Trunks ,Wind Suits","7, Agrabad C/A, Chittagong","7, Agrabad C/A,",Chittagong,1999,"['T-Shirts', 'Pants', 'Swimming Trunks', 'Wind Suits']",720000.0,Large,26,1.1244979919678715,2891.5662650602408,4,0,0,1,0,0,0
Ambia Fashions Ltd.,Woven,5.0,0.0,124,0.0,"Jackets ,Trousers ,Pants","171/A, Dewanhat, Port City, Chittagong, Doublemooring",Chittagong,Doublemooring,2009,"['Jackets', 'Trousers', 'Pants']",0.0,,16,0.0,0.0,3,0,0,1,0,0,0
Ambition Garments Ltd.,Woven,5.0,400.0,200,90000.0,"Shirts ,Trousers ,Pants ,Shorts","Al-Amin Plaza, 320, East Rampura, Dhaka, Rampura",Dhaka,Rampura,2009,"['Shirts', 'Trousers', 'Pants', 'Shorts']",1080000.0,Very Large,16,2.0,5400.0,4,0,0,1,0,0,0
AMC Knit Composite Ltd.,Knit,5.0,2580.0,947,2092000.0,"T-Shirts ,Polo Shirts ,Shorts","Baniachala, Member Bari, Gazipur, Gazipur Sadar",Gazipur,Gazipur Sadar,2010,"['T-Shirts', 'Polo Shirts', 'Shorts']",25104000.0,Very Large,15,2.724392819429778,26508.97571277719,3,0,0,0,0,0,0
AMC Sweaters Ltd.,Sweater,5.0,1000.0,946,107510.0,"Sweaters ,Pullovers ,Cardigans ,Vest","158/283, Choydana, National University, Gazipur, Gazipur",Gazipur,Gazipur,1999,"['Sweaters', 'Pullovers', 'Cardigans', 'Vest']",1290120.0,Very Large,26,1.0570824524312896,1363.7632135306553,4,0,0,0,0,0,0
